0,12
1,13
2,14
3,15
4,16
5,17
6,18
7,19
8,20
9,21
10,22
11,23
12,24
13,25
14,26
15,27
16,28
17,29
18,30
19,31
20,32
21,33
22,34
23,35
24,36
25,37
26,38
27,39
28,40
29,41
30,42
31,43
32,44
33,45
34,46
35,47
36,48
37,49
38,50
39,51
40,52
41,53
42,54
43,55
44,56
45,57
46,58
47,59
48,60
49,61
50,62
51,63
52,64
53,65
54,66
55,67
56,68
57,69
58,70
59,71
0,1
0,3
0,10
0,11
1,3
1,7
2,4
2,9
2,10
2,11
3,5
3,6
4,8
4,11
5,8
5,9
5,11
6,7
6,9
6,10
7,10
8,9
12,13
12,23
13,15
14,16
14,22
15,17
16,23
17,20
18,19
18,21
19,22
20,21
24,25
24,35
25,27
26,28
26,34
27,29
28,35
29,32
30,31
30,33
31,34
32,33
36,37
36,47
37,39
38,40
38,46
39,41
40,47
41,44
42,43
42,45
43,46
44,45
48,49
48,59
49,51
50,52
50,58
51,53
52,59
53,56
54,55
54,57
55,58
56,57
